UN Chief Says There Is No Military Solution in Syria	Șeful ONU declară că nu există soluții militare în Siria
In fact, it comes from a single meeting of 12 people convened to develop a multi-criteria decision analysis (MCDA) model to synthesise their opinions on the harms associated with different nicotine-containing products; the results of the meeting were summarised in a research paper.	În realitate, o singură întâlnire la care au participat 12 oameni a condus la elaborarea unui model de analiză de decizie cu multiple criterii (MCDA) care să sintetizeze părerile acestora cu privire la efectele negative asociate cu diferite produse care conțin nicotină; rezultatele acestei întâlniri au fost prezentate pe scurt într-o lucrare de cercetare.
McKee and Capewell said one sponsor of the meeting was a company called EuroSwiss Health, whose chief executive was reported to have previously received funding from British American Tobacco for an independent study.	McKee și Capewell sau afirmat că unul dintre sponsorii întâlnirii a fost o companie intitulată EuroSwiss Health, despre al cărei director executiv s-a spus că ar fi primit în trecut finanțare din partea British American Tobacco pentru derularea unui studiu independent.
He also endorsed BAT's public health credentials in a sustainability report, they said.	Acesta a validat de asemenea acreditarea BAT în sănătate publică într-un raport asupra sustenabilității, a afirmat acesta.
One of the 12 people at the meeting declared funding from an e-cigarette manufacturer but not the funding he was reported to have received previously from the tobacco company Philip Morris International, they added.	Ei au adăugat că unul dintre cei 12 participanți la întâlnire a declarat finanțarea primită de la un producător de țigări electronice însă nu și finanțarea despre care există rapoarte că ar fi primit-o din partea companiei producătoare de țigări și tutun, Philip Morris International.
The rationale for selecting the members of the panel is not provided, but they include several known e-cigarette champions, some of whom also declare industry funding in the paper.	Nu s-au furnizat argumentele pe baza cărora au fost selectați membrii panelului însă printre aceștia se numără câțiva „fruntași” cunoscuți în producția de țigări electronice, unii dintre aceștia chiar declară în lucrare finanțarea industriei.
Some others present at the meeting are not known for their expertise in tobacco control.	Alți participanți la întâlnire nu sunt cunoscuți pentru expertiza în controlul tutunului.
The meeting was also attended by the tobacco lead at PHE.	La întâlnire a participat de asemenea șeful secției de control al tutunului din cadrul PHE.
The research paper produced by the group "tellingly concedes" there is a lack of "hard evidence for the harms of most products on most of the criteria," McKee and Capewell wrote.	Lucrarea de cercetare elaborată de grup „mușamalizează în mod convingător” faptul că lipsesc „dovezi solide privind efectul nociv pe care îl are majoritatea produselor conform majorității criteriilor”, au afirmat McKee și Capewell.
However, none of these links or limitations are discussed in the PHE report.	Cu toate acestea, în raportul PHE nu se menționează niciuna dintre aceste legături sau limitări.
McKee and Capewell said PHE's claims that "there is no evidence so far that e-cigarettes are acting as a route into smoking for children or non-smokers" were premature.	McKee și Capewell au declarat că afirmațiile PHE că „până în prezent nu există dovezi că țigările electronice constituie un factor care încurajează fumatul în rândul copiilor sau al nefumătorilor” sunt premature.
Prof Kevin Fenton, director of health and wellbeing at PHE, said the claims in the BMJ had been responded to before.	Profesorul Kevin Fenton, directorul departamentului de sănătate din cadrul PHE, declară că s-a răspuns în trecut la afirmațiile din BMJ.
He said: "E-cigarettes are significantly less harmful than smoking."	El a declarat: „Țigările electronice sunt semnificativ mai puțin nocive decât fumatul”
One in two lifelong smokers dies from their addiction.	Una din două persoane care au fumat toată viață își pierde viața din cauza acestui viciu.
All of the evidence suggests that the health risks posed by e-cigarettes are small by comparison, but we must continue to study the long-term effects.	Toate dovezile sugerează că riscul pe care îl prezintă țigările electronice pentru sănătate sunt minore comparativ, însă trebuie să continuăm să studiem efectele pe termen lung.
PHE has a clear duty to inform the public about what the evidence shows and what it does not show, especially when there was so much public confusion about the relative dangers compared to tobacco.	PHE are datoria clară de a informa publicul referitor la informațiile care reies și cele care nu reies din dovezi, având în vedere în special gradul înalt de confuzie publică cu privire la pericolele relative comparativ cu tutunul.
Nearly 80,000 people a year die of a smoking-related illness and smoking costs the NHS £2bn a year.	Anual, aproximativ 80.000 de persoane își pierd viața din cauza unei boli asociate cu fumatul iar costurile anuale suportate de sistemul național de sănătate din cauza fumatului ajung la 2 miliarde de lire.
By spelling out clearly the current evidence - that while e-cigarettes are not risk-free, they carry only a fraction of the harm caused by smoking - we are fulfilling our national remit.	Exprimând clar dovezile actuale - și anume că, deși folosirea țigărilor electronice nu este lipsită de riscuri, acestea prezintă doar o fracțiune din efectul nociv al fumatului - ne îndeplinim datoria națională.
Illegal torture equipment - right on your doorstep!	Echipament ilegal de tortură - livrat la ușă!
The adverts shaming Britain's arms trade	Reclamele care fac de rușine comerțul cu arme al Marii Britanii
Watch Amnesty International's anti-arms fair video.	Urmăriți filmul realizat de Amnesty International contra târgului de armament.
Horrific killer drones!	Drone ucigașe îngrozitoare!
Ankle-shattering leg irons!	Fiare pentru zdrobirea gleznelor!
Cluster bombs!	Bombe cu dispersie!
And electric stun batons that cause excruciating pain but leave no trace!	Și bastoane electrice care provoacă dureri înfiorătoare fără să lase urme!
The cheery voice and cartoon imagery leave no doubt that this advert for the world's biggest arms fair is a sharp spoof, produced for Amnesty International to highlight the British government's willingness to flog weapons to repressive regimes via the Defence and Security Equipment International's jamboree at the ExCeL Centre in London's Docklands.	Vocea veselă și imaginile animate nu lasă dubii că această reclamă pentru cel mai mare târg mondial de armament este o șaradă aprigă, realizată de Amnesty International pentru a sublinia dorința autorităților britanice de a vinde armament regimurilor represive prin intermediul Defence and Security Equipment International la ExCeL Centre în London's Docklands.
Related: DSEI weapons fair: authoritarian regimes descend on London	Știri similare: Târgul de armament DSEI: regimurile autoritariste ajung la Londra
But a separate campaign is also leading to many posters cropping up at bus stops and on tube trains that require a second glance.	Însă o campanie separată a condus de asemenea la afișarea unui număr mare de postere în stațiile de autobuz și în metrouri care au nevoie de o a doua privire.
"Important announcement, Travelling on the DLR from 15th to 18th September?" reads one, using London Underground fonts and branding with the DLR line turning into the image of a tank.	„Anunț important, călătoriți cu DLR între 15 și 18 septembrie?” spune unul dintre anunțuri, folosind fonturile și brandingul metroului londonez, linia DLR transformându-se în imaginea unui tanc.
This September, a swarm of arms dealers will be descending on the DLR ... Customers are requested to help stop the arms fair.	În luna septembrie a acestui an, o mulțime de dealeri de armament se vor năpusti asupra DLR Clienților li se solicită să contribuie la oprirea târgului de armament.
The 300 posters are by artists who exhibited work at the Museum of Cruel Designs in Banksy's Dismaland.	Cele 300 de postere sunt realizate de către artiști care au expus lucrările la Muzeul Cruel Designs, în Dismaland, Banksy.
A collective called the Special Patrol Group helped distribute it around London using "Ad Space Hack Packs," a £6 pack of Allen keys which it claims "gain access to around a third of bus stop advertising space on the planet."	O grupare numită Special Patrol Group a contribuit la distribuirea în Londra folosind „Ad Space Hack Packs”, un pachet de 6 lire de chei Allen despre care afirmă că „facilitează accesul la aproximativ o treime din spațiul publicitar din stațiile de autobuz de pe planetă.”
