Civil rights group issues travel warning for Missouri	Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri
Trump threatens the President of Mexico over the phone.	Trump vyhrožoval po telefonu prezidentovi Mexika.
In a phone call to Mexican President Enrique Peña Nieto this January, American President Donald Trump threatened that he wouldn't meet him if he publicly stated that his country would not pay for the construction of a wall between the US and Mexico.	Americký prezident Donald Trump v lednovém telefonátu mexickému prezidentovi Enriquemu Peňovi Nietovi pohrozil, že se s ním nesetká, pokud bude veřejně říkat, že jeho země nebude platit za stavbu zdi mezi USA a Mexikem.
During the conversation, Trump said that he would arrange the financing somehow, although he admitted that it would have to be secured from other sources.	Trump v rozhovoru řekl, že financování se nějak zařídí, i když připustil, že bude muset být zajištěno z jiných zdrojů.
Similarly, Trump also spoke openly to the Australian Prime Minister Malcolm Turnbull.	Obdobně otevřeně hovořil Trump i s australským premiérem Malcolmem Turnbullem.
This has emerged from transcripts of the talks published by the US daily The Washington Post on Thursday.	Vyplývá to z přepisů rozhovorů, které ve čtvrtek zveřejnil americký deník The Washington Post.
Trump made the construction of a wall on the southern border with Mexico a major promise in his campaign last year.	Trump učinil výstavbu zdi na jižní hranici za mexické peníze jedním z hlavních slibů ve své loňské předvolební kampani.
In Trump's first interview with the Mexican President shortly after he took office, he undiplomatically rebuked Peña Nieta for criticising his wall-building plan.	Hned v prvním rozhovoru s mexickým prezidentem krátce po nástupu do funkce Trump Peňu Nieta nediplomaticky káral za to, že se staví kriticky k jeho plánu na stavbu zdi.
He described the country's southern neighbour as a growing political problem, and urged the Mexican president not to publicly state that his government would never pay for the wall.	Jižního souseda vylíčil jako rostoucí politický problém a tlačil na mexického prezidenta, aby veřejně neříkal, že jeho vláda za zeď nikdy platit nebude.
"You cannot say that to the press," Trump repeatedly urged in a discussion on 27 January, and threatened to break off contacts with the Mexican President if he continued to issue defiant statements.	"Tohle nemůžete říkat tisku," řekl opakovaně Trump v rozhovoru z 27. ledna a pohrozil přerušením kontaktů s mexickým prezidentem, pokud bude nadále vydávat vzdorovitá prohlášení.
He will figure out the funding somehow and it will work out eventually.	Financování se prý nějak vymyslí a nakonec to dobře dopadne.
"But if you say that Mexico won't pay for the wall then I don't want to meet you anymore, because it is unacceptable to me," said Trump, according to the American daily.	"Ale pokud budete říkat, že Mexiko nebude za zeď platit, pak já se s vámi pánové už nechci stýkat, protože to je pro mě nepřijatelné," řekl podle amerického deníku Trump.
He then claimed that the wall was as the least significant thing they would talk about, but politically it is probably the most important.	Zeď přitom označil za tu nejméně významnou věc, o které mluvíme, ale politicky je možná tou nejdůležitější.
Trump issued the executive order to build the wall shortly after coming to power.	Exekutivní příkaz ke stavbě zdi Trump vydal krátce po převzetí moci.
Mexico is rejecting the construction and financing of a 3200-kilometre-long wall, and the relations between the two countries have become critical.	Mexiko výstavbu i financování zdi o délce 3200 kilometrů odmítá, kvůli tomu se vyhrotily i vztahy obou zemí.
At the end of March, Trump said that the United States would pay for the project.	Koncem března Trump řekl, že projekt budou zatím platit Spojené státy.
Trump finally met his Mexican counterpart for the first time at the G20 summit in Hamburg in July.	Trump se nakonec se svým mexickým protějškem poprvé setkal na červencovém summitu G20 v Hamburku.
The Washington Post also reported on Trump's phone conversation with Australian Prime Minister Turnbull on January 28.	The Washington Post rovněž informoval o Trumpově telefonickém rozhovoru s australským premiérem Turnbullem z 28. ledna.
The head of the White House said that the conversation was ridiculous.	Šéf Bílého domu konverzaci označil za směšnou.
This was the outcome of an exchange of views on the agreement that will see Australia grant asylum to Central American refugees in exchange for the United States accepting persons from internment facilities in the Pacific Island states.	K takovému závěru ho přiměla výměna názorů na dohodu, podle které Austrálie poskytne azyl středoamerickým uprchlíkům výměnou za to, že Spojené státy přijmou osoby z internačních zařízení v tichomořských ostrovních státech.
At first Trump considered the deal to be absurd, but later conceded to it.	Trump dohodu zprvu považoval za hloupou, později na ni ale přistoupil.
"You can certainly say that this is not the deal you created, but you will have to stick to it," Trump told Turnbull.	"Určitě můžete říkat, že toto není dohoda, kterou jste vytvořil, ale budete se jí muset držet," řekl Trumpovi Turnbull.
In some parts, the phone conversation with Turnbull was almost jovial, for example, when Trump approved of Australia's refusal to accept refugees arriving in boats.	V některých pasážích byl telefonický rozhovor s Turnbullem téměř žoviální, například když Trump ocenil jako dobrý nápad australské odmítání přijímat uprchlíky připlouvající v člunech.
"You're worse than me," joked Trump.	"Jsi horší než já," žertoval Trump.
The tone of the conversation suddenly got sharper.	Náhle se ale tón rozhovoru vyostřil.
"I hate accepting these people," said Trump.	"Nesnáším přijímání těchto lidí," poznamenal Trump.
They're bad, I can assure you.	Ujišťuji tě, že jsou špatní.
That's why they're in prison now.	Proto jsou teď ve vězení.
"They're not going to be great people who go to work for the local dairy," he said.	"Nebudou skvělými lidmi, kteří půjdou pracovat pro místní mlékaře," řekl.
During the conversation, he also said that a fugitive could become the Boston terrorist in five years.	V rozhovoru také podotkl, že uprchlík se může za pět let stát atentátníkem z Bostonu.
Trump had telephone conversations with a large number of world statesmen at the end of January, about a week after coming to the White House. He often spoke to several leaders in a single day.	Trump vedl na konci ledna, tedy zhruba týden po příchodu do Bílého domu, telefonické rozhovory s řadou světových státníků, často i několik během jednoho dne.
The call with Turnbull finally proved to be the least pleasant for the whole day.	Hovor s Turnbullem nakonec označil za ten nejméně příjemný za celý den.
Before he finished, he stressed that he had previously had a pleasant conversation with Russian President Vladimir Putin.	Než ho ukončil, vyzdvihl, že měl předtím příjemný rozhovor s ruským prezidentem Vladimirem Putinem.
Rana's killer was executed before a crowd.	Před davem popravili vraha Rany.
Her father also watched.	Přihlížel i její otec.
The execution took place in a square in the Yemeni capital Sanaa.	Poprava proběhla na náměstí v hlavním městě Jemenu Saná.
Muhammad al-Maghrabi chose little Rana Almatari, who lived in his neighbourhood, as his victim.	Muhammad al-Maghrabi si za svou oběť vybral maličkou Rana Almatari, která žila v jeho sousedství.
Al Maghrabi kidnapped the girl and took her to his father's house, where he raped her and strangled her with his bare hands.	Al Maghrabi dívku unesl, vzal do domu svého otce, kde ji znásilnil a holýma rukama uškrtil.
He then raped her body, which he tossed near a mosque.	Následně znásilnil i její tělo, které pak pohodil blízko mešity.
The young girl's violent death affected the entire country, which is currently facing the threat of civil war.	Násilná smrt malé dívky zasáhla celou zemi, která čelí hrozbě občanské války.
Yahya Almatari was in the first row of a thousand-person crowd, which gathered together to witness the execution.	Yahya Almatari stál v první řadě tisícihlavého davu, který se sešel, aby se stal svědkem popravy.
Muhammad al Maghrabi was condemned under Sharia law.	Muhammad al Maghrabi byl odsouzen pod právem šaría.
After the execution, the victim's father shared his feelings with the media.	Otec oběti po popravě sdělil médiím své pocity.
