This is perfectly illustrated by the UKIP numbties banning people with HIV.	Les demeurés de UKIP qui refusent ceux qui vivent avec le VIH sont un exemple parfait.
I haven't watched this new series yet (which will be the last for me, without Lange meh).	J’ai pas encore regardé cette nouvelle saison (qui sera la dernière pour moi, sans Lange bof bof).
In the case of American Horror Story I preferred to watch it all in one go to watching 13 episodes spread over 3 to 4 months.	Dans le cas d’American Horror Story je préféré avoir tout d’un coup que regarder 13 épisodes étalés sur 3 à 4 mois.
But one thing is sure, apart from extraordinary Jessica Lange, it is above all the risks in the staging and editing which stagger me.	Mais une chose est sur, en dehors de Jessica Lange extraordinaire, c’est surtout les risques de mises en scènes et de montages qui me sidèrent.
In AHS we have an avalanche of original shots which ridicule the aseptization of today's productions quite well.	On a dans AHS une avalanche de plans originaux qui ridiculise pas mal l’aseptisation des productions d’aujourd’hui.
I don't quite understand why you throw in the towel in advance for the next seasons without even waiting to be able to gauge the quality.	Ca m’échappe un petit peu de vous voir jeter l’éponge à l’avance pour les prochaines saisons sans même attendre de pouvoir en jauger la qualité.
Jessica Lange is certainly one of the mainstays in this series, but, as you said so well, there are many other things.	Jessica Lange est certes un pilier de cette série mais, vous le dites si bien, il y a bien d’autres choses encore.
No, it is simply that, for me, Jessica Lange (and above all her voice and the way in which she uses it) is truly ONE of the pillars of the series apart from some technical qualities.	Non c’est tout simplement que pour moi Jessica Lange (et surtout sa voie et la façon dont elle l’utilise) est vraiment UN des piliers de la série en dehors des qualités techniques.
And well I watch it a lot for her.	Et bon bah je regarde beaucoup pour elle.
Then I find that the series is flawed by its writing, it wants to do too many things at the same time.	Puis je trouve que la série pèche par écriture, elle veut trop faire de choses en même temps.
Season 3 was slightly below par, in the 2nd it was too fragmented despite some excellent episodes.	La saison 3 était légèrement en dessous, dans la 2 c’était trop dispersé malgré quelques épisodes excellents.
I do not see them doing 10 seasons of American Horror Story or it is going to finish like 24 otherwise.	Je les vois pas faire 10 saisons d’American Horror Story ou ça va finir comme 24 heures chronos quoi.
But anyway everyone does what they want to, eh!	Mais bon chacun fait ce qui veut hein !
It is not because I say "I will not watch anymore afterwards" that everyone is obliged to do the same!	C’est par ce que je dis « je ne regarderai plus ensuite » que tout le monde est obligé de faire pareil !
I simply share my point of view, nothing more, nothing less.	Je partage simplement mon point de vue rien de plus, rien de moins.
The loss of Jessica Lange, I think that it will be fatal for it.	La perte de Jessica Lange, JE pense qu’elle lui sera fatale.
But, after all, this is just my opinion.	Mais après, voilà, c’est juste mon avis.
Less talk of tax rises, please - just get on with slashing state spending.	Parlons moins de hausses d'impôts, s'il vous plaît - coupons plutôt dans les dépenses de l'État.
No, let's increase spending please.	Non, augmentons les dépenses s'il vous plaît.
The slashers have failed.	Ceux qui voulaient sabrer dans les dépenses ont échoué.
Picking noisy fights over relatively modest chunks of expenditure, such as foreign aid	Déclencher des polémiques à propos de postes de dépenses relativement peu importants, comme l'aide au développement
The problem is that it is less than the margin of error for Government expenditure in the UK.	Le problème, c'est que cela représente moins que la marge d'erreur dans les dépenses du gouvernement au Royaume-Uni.
The reality is that we are all talking about a differnece in emphasis rather than the change in direction that voters appear to want and all the while some on all sides pretend that the difference is emphasis is something much more significant and substantial - and the voters see through that as being disingenuous.	La vérité c'est que nous sommes tous en train de parler de nuances plutôt que du changement d'orientation que les électeurs semblent appeler de leurs vœux et pendant tout ce temps certains, dans chaque camp, font semblant que ces nuances sont bien plus importantes et substantielles qu'elles ne le sont - et les électeurs voient clair dans leur jeu et les trouvent de mauvaise foi.
Less than 1pc of managed expenditure.	Moins de 1 % des dépenses.
The "debt" are assets held mainly by financial institutions in this country.	La « dette », c'est des d'actifs détenus essentiellement par des institutions financières dans ce pays.
The "debt" is nothing to panic about.	La « dette » n'est rien dont il faille s'inquiéter.
I would be relaxed about the government appropriating one third of my income (before we get on to taxes on spending) if I felt it would use it wisely.	Je ne verrais aucun problème à ce que le gouvernement s'approprie un tiers de mon revenu (avant même de parler des taxes sur la consommation) si je pensais qu'il allait s'en servir à bon escient.
But I don't and many taxpayers feel the same.	Mais ce n'est pas le cas, et beaucoup de contribuables ont le même sentiment.
Nigel Farage is alleged to be less than honest about how taxes can be reduced but then again if you add up our EU net contribution, overseas aid, HS2, subsidies to near-useless wind farms and nuclear power stations that cost double what they should you come to a figure that makes Labour's / Lib-Dem's mansion tax seem very small beer.	On dit que Nigel Farage n'a pas été tout à fait honnête sur comment réduire les impôts mais bon, si vous additionnez notre contribution nette à l'UE, l'aide au développement, High Speed 2, les subventions aux éoliennes à peu près inutiles et les centrales nucléaires qui coûtent le double de ce qu'elles devraient, vous arrivez à un chiffre qui fait paraitre bien ridicule l'impôt du Labour et des Lib-Dem sur les résidences les plus luxueuses.
Your first £10,000 is tax free.	Vos premiers 10 000 £ ne sont pas imposables.
This means that someone earning £35,000 a year will pay about £5,000 (a seventh of their salary), someone on £50,000 would pay around £10,000 (a fifth), etc, and someone on £200,000 pays around £70,000 (just over a third).	Cela signifie que quelqu'un qui gagne 35 000 £ par an paiera environ 5 000 £ (un septième de leur salaire), quelqu'un avec 50 000 £ paieraient autour de 10 000 £ (un cinquième), etc. et quelqu'un avec 200 000 £ paie environ 70 000 £ (un peu plus d'un tiers).
National insurance?	Et les cotisations sociales ?
Plus national insurance, plus council tax, plus parking charges and road tax, and that's before VAT.	Plus les cotisations sociales, plus les impôts locaux, plus les frais de stationnement et la vignette automobile, et c'est avant la TVA.
Almost exactly 30% of my money is taken at source before council tax and road tax.	Presque exactement 30 % de mon argent est prélevé à la source avant les impôts locaux et la vignette automobile.
I'm decently paid, but not wildly so.	Je suis payé de manière décente, mais pas de manière extravagante.
Not that this is wrong, of course, I'm happy to pay my taxes.	Non que ce soit un problème, bien sûr, je suis content de payer mes impôts.
