Four members of the Kemerovo group arrested in Estonia and Spain	Eestis ja Hispaanias peeti kinni neli Kemerovo grupeeringu liiget
It’s something you can experience when you’re competing.	Kui ise võistled, siis saab seda kogeda.
Orel confirmed that she was satisfied with her World Championships debut and that many good competitions lay ahead for her: “I came here with the 32nd or last place result, and I finished in 18th place.	Orel kinnitas, et jääb MMi debüüdiga rahule ning teda ootab veel palju häid võistlusi: "Tulin siia tänavuse hooaja 32. ehk viimase tulemusega, lõpetasin 18. kohal.
That was a very decent result.	See on väga korralik tulemus.
I’m 20 and the World Championships – that’s the only one that counts.	Olen 20aastane ja MMil - see on ainus, mis loeb.
I will come away with a good experience and someday I’ll be wanting to compete for medals.	Võtan kaasa hea kogemuse ja mõnel päeval tahan võistelda juba medalite nimel.
West Virginia governor announces he's switching parties	Lääne-Virgina kuberner teatas parteivahetusest
The Democratic governor of West Virginia, Jim Justice, announced Thursday night at a rally with President Trump that he's switching parties.	Lääne-Virginia demokraadist kuberner Jim Justice teatas neljapäeva õhtul kogunemisel koos president Trumpiga, et ta vahetab parteid.
"Like it or not like it, the Democrats walked away from me," Gov. Justice said.	"Meeldigu see või mitte, aga demokraadid kõndisid minu juurest minema," ütles kuberner Justice.
"Today I will tell you with lots of prayers and lots of thinking ... today I will tell you as West Virginians, I can't help you anymore being a Democratic governor."	"Täna ma ütlen teile, olles rohkelt palvetanud ja järele mõelnud... täna ma ütlen teile, läänevirginialastele, et ma ei saa teid demokraatliku kubernerina enam aidata."
The rally erupted in cheers.	Kogunemisel vallandusid rõõmuhõisked.
"So tomorrow, I will be changing my registration to Republican," Justice added.	"Seega saab minust homme vabariiklane," lisas Justice.
"As a coach, I would tell you it's time to run another play."	"Treenerina ütleksin teile, et aeg on mängida teist mängu."
Mr. Trump promised earlier a big announcement at the West Virginia rally.	Trump oli lubanud varem Lääne-Virginia kogunemisel suurt teadaannet.
Mr. Trump won West Virginia by 42 points, and Justice did not endorse the Democratic nominee, Hillary Clinton.	Trump võitis Lääne-Virginias 42 punktiga ja Justice ei toetanud demokraatide kandidaati Hillary Clintonit.
Justice, who is the only billionaire in the state, according to Forbes, was elected in 2016.	Justice, kes on Forbesi andmetel osariigi ainus miljardär, osutus valituks aastal 2016.
Forbes notes that he owns coal mines in five states, having inherited a coal business from his father.	Forbes märgib, et talle kuuluvad kivisöekaevandused viies osariigis ning kivisöeäri päris ta oma isalt.
He's worth about $1.59 billion.	Tema väärtus on ligikaudu 1,59 miljardit dollarit.
Meanwhile, the Republican National Committee released a statement Thursday night saying "Governor Justice's party switch is another blow to a Democratic Party that would rather obstruct than work to make our country great again."	Samal ajal avaldas vabariiklaste rahvuskomitee (RNC) neljapäeva õhtul teadaande, et "kuberner Justice'i parteivahetus on järjekordne löök demokraatlikule parteile, mis pigem takistaks riigi jälle paremaks muutmist kui töötaks selle nimel".
"With only 15 governorships and control of the fewest state legislatures in history, Governor Justice's announcement is just the latest rejection of a party that is leaderless from top to bottom and unable to find a positive, unifying message," RNC chairwoman Ronna McDaniel said in a statement to CBS News.	"Kõigest 15 kubernerikohta ja kontroll kõige madalama arvu osariikide üle ajaloos - kuberner Justice'i teadaanne on lihtsalt kõige hiljutisem äraütlemine parteile, mis on otsast lõpuni juhitu ega suuda leida positiivset ning ühendavat sõnumit," ütles RNC esinaine Ronna McDaniel avalduses CBS Newsile.
It’s no surprise now that where there’s large crowds, there’s also more injured.	Pole vast üllatus, et kus on palju rahvast, seal on ka palju vigastatuid.
Urmet, working in the medicine tent at Weekend, told Õhtuleht yesterday that they have had to dispense quite a few bandages.	Weekendil meditsiinitelgis ametis olev Urmet ütles eile Õhtulehele, et plaastreid on nad pidanud päris palju välja jagama.
Blisters and abrasions are the main ones, sprains and mild falls.	Villid ja marrastused on põhilised, välja väänamised ja kerged kukkumised.
Naturally, headaches, backaches and leg pain.	Loomulikult ka pea-, selja- ja jalavalud.
Urmet says patrons come to the festival with the wrong footwear and that causes problems.	Urmeti sõnul tulevad külastajad festivalile valede jalanõudega ja nii probleemid tulevad.
Medics have had to assist a couple guests with more serious injuries – one had a panic attack and one had a broken leg.	Meedikud on pidanud abistama ka paari suurema vigastusega külastajaid - on olnud mõned paanikahood ja ka üks jalaluumurd.
We have also had to apply stitches where someone has cut their hand or finger.	Samuti oleme teinud õmblemisi, kui inimene on käe või sõrme puruks teinud.
We do minor stitches here, bigger ones we send them to hospital.	Väiksemad õmblused teeme siin ära, suuremad saadame haiglasse.
Watch the video whether festivalgoers also ask medics for pain relievers for hangovers.	Vaata videost, kas pidulised meedikutelt pohmelli raviks valuvaigistit ka küsivad.
Coe praises 'candid' Russian apology for doping scandal	Coe kiitis venelaste ausat vabandust dopinguskandaali pärast
Global athletics boss Sebastian Coe praised what he described as a candid apology from Russia over a doping scandal on Thursday but reiterated it was not the moment for the country to be readmitted to the sport.	Kergejõustiku rahvusvaheline ninamees Sebastian Coe kiitis tema sõnade järgi "Venemaa neljapäevast ausat vabandust" dopinguskandaali pärast, aga kordas, et praegu pole aeg riiki sporti tagasi lubada.
Russia's athletics boss Dmitry Shylakhtin told an IAAF Congress, held on the eve of the World Athletics Championships, that his country's ban from the sport was correct and that he was determined to fight doping.	Venemaa kergejõustiku ninamees Dmitry Shylakhtin ütles kergejõustiku maailmameistrivõistluste eelõhtul toimunud IAAF-i kongressil, et tema riigile kehtestatud võistluskeeld on õige ja tal on kindel eesmärk dopingu vastu võidelda.
He said he was sorry to "all athletes who have had gold and silver medals snatched from them at competitions."	Ta palus vabandust "kõikidelt kergejõustiklastelt, kelle käest on võistlustel kuld- ja hõbemedalid ära napsatud".
Despite his comments, the IAAF Congress voted in favor of maintaining the ban, imposed in November 2015 after a World Anti-Doping Agency (WADA) report found evidence of state-sponsored doping in Russia.	Tema kommentaaridele vaatamata hääletas IAAF-i kongress selle poolt, et jätta jõusse võistluskeeld, mis kehtestati 2015. aasta novembris pärast seda, kui Maailma Antidopingu Agentuuri (WADA) raport leidis asitõendeid riigi toetatud dopingu kohta Venemaal.
"I thought it was a very candid response today, a very candid presentation," IAAF president Coe told reporters.	"Minu arvates oli täna tegu väga ausa vastusega, väga ausa esitlusega," ütles IAAF-i president Coe ajakirjanikele.
"The whole Council and the whole Congress was pleased ... that the Russian federation recognized themselves that they have been through some pretty torrid times and are doing everything possible to make sure the federation is reengineered."	"Terve nõukogu ja kogu kongress olid rahul, et Venemaa alaliit tunnistas ka ise, et neil on olnud üsna keerulised ajad ja nad teevad alaliidu ümberkorraldamiseks kõik võimaliku."
Coe said he was also "pleased" that Russia accepted the criteria for its reintroduction.	Coe sõnul oli tal lisaks hea meel, et Venemaa aktsepteeris enda ennistamise kriteeriumeid.
"I think it was a very constructive day and I think progress is being made, but the Congress supports the recommendations of the task force that this was not the moment to reinstate Russia," said Coe.	"Usun, et täna oli väga konstruktiivne päev ja toimub edasiminek, aga kongress toetab töörühma ettepanekut, et praegu pole õige aeg Venemaa tagasivõtmiseks," ütles Coe.
"We need to do everything over the next few months to normalize this situation.	"Peame tegema paari järgmise kuu jooksul kõik võimaliku, et olukord normaliseerida.
The guiding principle has always been that we wanted to separate the clean athletes from the tainted system," he added	Oleme lähtunud alati põhimõttest, et tahame puhtad sportlased rikutud süsteemist eraldada," lisas ta.
Nineteen Russian athletes will be competing as neutrals at the World Athletics Championships which start in London on Friday, having met strict IAAF criteria.	Üheksateist Venemaa kergejõustiklast, kes vastavad IAAF-i rangetele kriteeriumitele, võistlevad reedel Londonis algavatel kergejõustiku maailmameistrivõistlustel neutraalsete sportlastena.
The head of the IAAF's Task Force, Rune Andersen, said on Monday that Russia had yet to meet several of the criteria for reinstatement.	IAAF-i töörühma juht Rune Andersen ütles esmaspäeval, et Venemaa ei vasta veel mitmele ennistamise kriteeriumile.
Drug-testing was still insufficient and banned coaches were still operating freely, he told reporters in London after a presentation to the IAAF Council.	Pärast IAAF-i nõukogule tehtud ettekannet lausus ta Londonis ajakirjanikele, et dopingukontroll on endiselt ebapiisav ja keelu saanud treenerid tegutsevad ikka veel vabalt.
The electric car revolution is transforming demand for metals	Elektriautode revolutsioon muudab oluliselt metallide nõudlust.
Who are the winners and losers?	Kes on võitjad ja kaotajad?
If it wasn’t enough that the electric car revolution is transforming everything from the fuel market to infrastructure, it is also creating new winners and losers on the metals market.	Vähe sellest, et elektriautode revolutsioon muudab oluliselt kõike kütuseturust kuni infrastruktuurini, loob see ka metalliturul uued võitjad ja kaotajad.
Although mining giants such as Glencore can say that they are winning in one area and losing in another, this is of no use to smaller mining companies.	Kuigi kaevandusgigandid nagu Glencore saavad öelda, et ühest kohast nad võidavad ja teisest kaotavad, siis väiksemad kaevandusfirmasid see ei aita.
Glencore currently makes money on coal and oil, but in future, the demand for cobalt, lithium, copper, aluminium and nickel will grow in the electric car age.	Praegu teenib Glencore kivisöelt ja naftalt, kuid edaspidi elektriautode ajastul kasvab koobalti, liitiumi, vase, alumiiniumi ja niklinõudlus.
This year, decision by the governments of the United Kingdom, France and Norway have raised the stakes with regard to the spread of electric cars, as they promise to prohibit the sale of fossil fuel powered cars in the decades ahead.	Sel aastal on elektriautode leviku osas panuseid tõstnud Ühendkuningriigi, Prantsusmaa ja Norra valitsuste otsused, kes lubavad lähiaastakümnetel keelustada fossiilsed kütuseid kasutavate uute autode müügi.
